Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
4539.8	45536.8	KR	HK		CN
1.1	170.8	KR	IT		CN
9.6	381.5	KR	JP		CN
23.4	781.0	KR	KY		CN
35.2	2734.1	KR	SG		CN
4.1	467.9	KR	US		CN
849.4	849.4	KW			CN
7.7	251.1	KW	GB		CN
15.3	930.6	KW	NL		CN
1.2	49.8	KZ	GB		CN
8.2	8.2	LB			CN
5.8	297.9	LB	FR		CN
0.0	5.7	LB	SE		CN
42.5	2740.4	LB	VG		CN
23.4	50.5	LI			CN
0.1	3.7	LK			CN
3748.8	3748.8	LR			CN
0.0	4.4	LT			CN
0.0	2.4	MA	FR		CN
2.3	362.2	MC	NL		CN
6.7	389.1	MN	HK		CN
60.4	5975.0	MO			CN
0.0	11.9	MO	BM		CN
0.0	3.8	MO	GB		CN
0.4	47.3	MO	HK		CN
38.9	1938.5	MO	KY		CN
94.6	94.6	MX			CN
1.0	91.3	MX	DE		CN
5.8	200.1	MX	ES		CN
1.9	111.2	MX	NL		CN
3.9	286.5	MX	SG		CN
0.9	160.1	MX	US		CN
972.0	5756.5	MY			CN
0.6	90.5	MY	AT		CN
0.6	155.9	MY	AU		CN
116.7	2742.6	MY	BM		CN
0.2	27.0	MY	CH		CN
0.7	48.7	MY	GB		CN
1124.0	19628.8	MY	HK		CN
11.0	11.0	MY	HN		CN
7.8	562.5	MY	KY		CN
7.4	497.1	MY	MU		CN
0.6	43.7	MY	NL		CN
1140.6	18338.4	MY	SG		CN
1.0	53.2	MY	US		CN
802.9	12294.4	MY	VG		CN
1897.4	10471.1	NL			CN
0.4	23.8	NL	BE		CN
0.3	41.8	NL	CH		CN
0.2	64.5	NL	DE		CN
0.0	38.8	NL	DK		CN
0.2	40.3	NL	ES		CN
0.1	35.7	NL	FR		CN
0.0	8.2	NL	GB		CN
1.9	479.2	NL	HK		CN
0.1	7.7	NL	JP		CN
1.1	164.4	NL	KY		CN
0.0	0.1	NL	SE		CN
7.2	649.1	NL	SG		CN
5.8	668.1	NL	US		CN
38.7	500.7	NO			CN
0.1	42.5	NO	BM		CN
0.3	37.1	NO	DE		CN
7.1	472.3	NO	DK		CN
20.0	609.8	NO	HK		CN
0.2	12.7	NO	IE		CN
1.6	65.7	NO	NL		CN
3.3	108.9	NO	SE		CN
11.3	342.6	NO	SG		CN
90.0	1042.8	NZ			CN
5.2	414.9	NZ	AT		CN
0.0	1.4	NZ	IT		CN
35.2	1335.3	NZ	KY		CN
13.9	1344.4	NZ	LU		CN
0.4	83.0	NZ	US		CN
1.8	250.8	OM	AE		CN
6.1	6.1	PE			CN
0.6	60.2	PE	GB		CN
2025.5	2025.5	PH			CN
32.0	3060.0	PH	HK		CN
53.0	4183.1	PH	SG		CN
127.7	12347.7	PH	VG		CN
206.4	206.4	PL			CN
0.1	18.3	PL	DE		CN
1.1	46.8	PL	HK		CN
0.0	0.2	PL	IT		CN
0.0	0.6	PL	NL		CN
1.1	119.2	PL	SG		CN
1.3	306.0	PL	VG		CN
1.4	268.1	PL	WS		CN
2.2	98.7	PT			CN
0.7	27.1	PT	ES		CN
0.2	30.2	PT	IT		CN
5.1	328.7	PT	LU		CN
1.7	114.1	QA	IT		CN
355.2	355.2	RU			CN
0.0	3.0	RU	BE		CN
6.4	263.0	RU	CH		CN
