Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
0.0	6.4	US	AU		RU
0.8	141.8	US	BE		RU
29.6	771.8	US	CH		RU
174.7	5224.7	US	CY		RU
0.0	11.3	US	CZ		RU
134.3	3655.4	US	DE		RU
0.1	29.0	US	DK		RU
0.0	0.0	US	EE		RU
1.4	99.4	US	ES		RU
0.3	34.5	US	FI		RU
5.8	518.5	US	FR		RU
26.3	484.6	US	GB		RU
0.2	117.4	US	GG		RU
3.0	201.7	US	HK		RU
3992.2	8132.7	US	IE		RU
13.1	481.8	US	IT		RU
124.0	4451.0	US	LU		RU
936.8	7110.0	US	NL		RU
0.0	2.4	US	PL		RU
1.0	109.3	US	SE		RU
28.2	28.2	UZ			RU
8.7	312.9	VC			RU
8.4	1233.4	VC	CY		RU
0.1	10.2	VE	CY		RU
9.7	793.3	VN			RU
0.0	5.6	ZA	CH		RU
4.0	208.3	ZA	GB		RU
0.2	32.8	ZA	LU		RU
14.6	2101.2	ZA	NL		RU
5.1	317.5	ZA	VG		RU
