Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
5.5	65.2	IN	NL		IT
5.2	62.9	IN	SG		IT
0.0	1.7	IN	US		IT
1.5	1.5	IQ			IT
25.6	25.9	IR			IT
1.3	19.5	IR	CH		IT
0.3	17.8	IR	CH	FR	IT
2.4	3.1	IR	DE		IT
2.0	50.5	IS	GB		IT
19.6	163.3	IS	NL		IT
103.1	821.8	IT	AT		IT
13.2	112.1	IT	AU		IT
32.4	556.3	IT	BE		IT
1.7	21.8	IT	BG		IT
4.6	4.6	IT	BS		IT
183.1	2501.2	IT	CH		IT
62.8	432.9	IT	CH	DK	IT
0.8	29.7	IT	CH	ES	IT
9.4	284.8	IT	CW	NL	IT
4.3	103.8	IT	CY		IT
0.1	3.1	IT	CZ		IT
2.4	85.2	IT	DE		IT
2.1	110.9	IT	DK		IT
0.0	0.4	IT	EE		IT
79.1	525.4	IT	ES		IT
99.3	941.5	IT	FR		IT
2768.2	8862.6	IT	GB		IT
146.1	1590.6	IT	GB	LU	IT
43.9	1058.2	IT	GB	NL	IT
15.6	15.7	IT	GG		IT
4.3	8.3	IT	GI		IT
213.7	1251.7	IT	GI	GB	IT
7.6	118.2	IT	GR		IT
31.4	85.4	IT	HR		IT
10.6	127.3	IT	IE		IT
0.1	3.5	IT	IE	LU	IT
5.0	18.0	IT	IM	DE	IT
14.6	76.1	IT	JE		IT
0.0	7.1	IT	JE	FR	IT
64.3	1556.5	IT	JE	GB	IT
37.1	1038.9	IT	JE	LU	IT
1.0	48.3	IT	LI	LU	IT
20646.8	37515.4	IT	LU		IT
0.2	16.1	IT	LU	CH	IT
8.0	270.2	IT	LU	GB	IT
612.9	3722.8	IT	LU	NL	IT
6.7	31.3	IT	LV		IT
43.4	596.6	IT	MT		IT
0.3	270.9	IT	MT	PT	IT
9095.7	25177.0	IT	NL		IT
0.7	16.2	IT	NL	ES	IT
0.2	9.3	IT	NL	GB	IT
175.5	1485.0	IT	NL	LU	IT
150.0	679.6	IT	NL	PT	IT
12.1	246.3	IT	NL	US	IT
0.2	22.4	IT	PL		IT
4.6	148.6	IT	PT		IT
1.4	43.5	IT	SE		IT
0.1	28.1	IT	SI		IT
0.1	9.6	IT	SK		IT
1.9	134.2	IT	SM		IT
22.3	192.5	IT	TR		IT
91.5	1502.7	IT	US		IT
0.0	0.5	IT	VG	LU	IT
3.1	5.2	JO			IT
2.1	26.2	JO	GB		IT
2768.2	2793.8	JP			IT
