FDI source	destination	IMF CDIS data (2015)	Total ultimate investor uncertainty	Lower estimate (75% confidence)	Median estimate	Upper estimate (75% confidence)
VC	DE	1.00	0	0.998	0.998	0.999
SE	DE	11151.00	0.418	18767.42	20521.47	23783.22
CH	DE	66549.00	0.528	33440	42112.09	48121.78
SY	DE	-7.00	0	0	0	0
TW	DE	203.00	0.432	586.974	693.527	1034.527
TH	DE	222.00	0.709	5.012	21.269	105.044
TN	DE	-25.00	0	0	0	0
TR	DE	0.00	0.822	1621.106	1701.01	1966.606
UA	DE	0.00	0.941	212.838	364.435	870.02
AE	DE	207.00	0.59	2790.433	2791.708	2792.642
GB	DE	75693.00	0.509	63420.91	74797.7	86543.59
US	DE	59725.00	0.112	209475.1	220193.6	233873.7
UG	DE	7.00	0	3.5	3.5	3.5
UZ	DE	2.00	0	2.0	2.0	2.0
VE	DE	8.00	0.011	8.004	8.025	8.091
VG	DE	1509.00	0.868	0	0	0
YE	DE	1.00	0	0	0	0
n.a.	DE	2647.00	0	0	0	0.0
