FDI source	destination	IMF CDIS data (2015)	Total ultimate investor uncertainty	Lower estimate (75% confidence)	Median estimate	Upper estimate (75% confidence)
MY	IT	-23.00	0	0.027	0.133	0.804
ML	IT	1.00	0	0	0	0
MT	IT	681.00	0.921	0	0	0
MU	IT	26.00	0.695	0	0	0
MX	IT	-78.00	0	0	0	0
MD	IT	26.00	0.411	14.546	19.956	53.258
MC	IT	0.00	0	0	0	0
ME	IT	3.00	0.826	1.855	3.271	10.677
MA	IT	7.00	0	6.0	6.0	6.0
MZ	IT	-4.00	0	0	0	0
NA	IT	1.00	0.688	0.53	0.683	1.701
NP	IT	2.00	0	0	0	0
NL	IT	68336.00	0.545	1428.33	2698.956	5477.35
NZ	IT	21.00	0.08	245.924	715.998	2058.835
NI	IT	2.00	0.904	1.85	4.578	19.252
NG	IT	-26.00	0	0	0	0
NO	IT	-489.00	0	0.349	1.861	10.029
OM	IT	-6.00	0	7.089	32.274	163.223
PK	IT	5.00	0.861	3.69	7.947	26.468
PQ	IT	1.00	0	0	0	0
PA	IT	36.00	0.002	0	0	0
PY	IT	2.00	0.714	1.083	1.489	3.785
PE	IT	2.00	0.895	1.852	4.808	17.624
PH	IT	14.00	0.017	18.537	70.883	277.478
PL	IT	106.00	0.474	129.414	130.881	131.737
PT	IT	1447.00	0.724	418.988	569.931	1085.939
QA	IT	528.00	0.014	844.035	1400.22	2835.993
RO	IT	127.00	1.0	84.015	203.982	301.276
RU	IT	573.00	0.015	3133.687	3617.43	4726.318
SM	IT	370.00	0.415	377.007	386.519	390.297
SA	IT	47.00	0.015	374.575	522.578	1038.826
SN	IT	7.00	0.798	4.264	6.803	21.126
RS	IT	32.00	0.517	16.849	20.078	34.891
SC	IT	2.00	0.998	0	0	0
SL	IT	2.00	0.603	1.042	1.246	2.626
SG	IT	235.00	0.895	109.891	242.318	647.621
SK	IT	55.00	0.945	6.247	23.531	107.999
SI	IT	80.00	0.961	6.216	26.413	106.24
SO	IT	3.00	0.085	1.502	1.518	1.642
ZA	IT	-242.00	0	449.922	1135.616	3094.769
ES	IT	8006.00	0.312	6840.098	6934.389	7181.012
LK	IT	3.00	0.154	2.362	10.027	45.696
KN	IT	0.00	0	0	0	0
VC	IT	-1.00	0	0	0	0
SE	IT	1357.00	0.605	3066.167	3760.957	5258.115
CH	IT	18309.00	0.586	15030.293	17783.039	19726.749
SY	IT	4.00	0	5.0	5.0	5.0
TW	IT	115.00	0.015	410.321	622.893	843.372
TZ	IT	2.00	0.503	1.027	1.164	2.065
TH	IT	36.00	0	200.978	568.103	1654.026
