Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)	larger estimate
HK	BM	HK	CN	701.5754672	2668.247569	2
CN	BM	HK	CN	424.6345385	1614.979611	2
SG	BM	HK	CN	4.682771357	17.80962117	2
GB	BM	HK	CN	9.143267504	34.77388027	2
n.a.	BM	HK	CN	30.86947363	117.4034752	2
BR		HK	CN	55.31341053	210.3692049	2
CA		HK	CN	437.004615	1662.025764	2
HK	KY	HK	CN	713.7279186	2726.52443	2
CN	KY	HK	CN	4842.290467	18498.118	2
TW	KY	HK	CN	944.3463131	3607.513768	2
n.a.	KY	HK	CN	53.02002392	202.5427152	2
AU	HK		CN	45.06473165	173.2111306	2
BD	HK		CN	6.988860591	26.86243544	2
CA	HK		CN	178.6517588	686.6672007	2
HK			CN	12964.6928	49831.18763	2
MO	HK		CN	898.2193099	3452.402277	2
CN	HK		CN	164263.4411	631364.158	2
DK	HK		CN	5.902588956	22.68723388	2
EG	HK		CN	19.51873395	75.0223479	2
FR	HK		CN	15.34586597	58.98348214	2
DE	HK		CN	38.19618759	146.8111447	2
IN	HK		CN	43.19086539	166.0087246	2
IE	HK		CN	12.44266799	47.82472924	2
IT	HK		CN	36.82409569	141.5373623	2
JP	HK		CN	179.4755728	689.833618	2
KR	HK		CN	195.3569087	750.8752362	2
MY	HK		CN	7.481529867	28.75606265	2
MN	HK		CN	13.37725703	51.41692248	2
NO	HK		CN	4.392597716	16.88342056	2
RU	HK		CN	1.5570495	5.984686791	2
SG	HK		CN	207.891014	799.0514147	2
SZ	HK		CN	57.00459792	219.1032875	2
TW	HK		CN	777.5269998	2988.508436	2
TH	HK		CN	64.39920787	247.5252641	2
GB	HK		CN	169.556749	651.7095547	2
US	HK		CN	1125.265106	4325.077153	2
VN	HK		CN	53.30850063	204.896941	2
n.a.	HK		CN	3867.106105	14863.63717	2
CN		HK	CN	69947.67128	266026.5539	2
DK		HK	CN	18.75633099	71.33449915	2
FI		HK	CN	83.30379412	316.8228602	2
FR		HK	CN	870.7081223	3311.496681	2
DE		HK	CN	729.2446797	2773.47974	2
GR		HK	CN	0.250650854	0.953280957	2
HU		HK	CN	7.986800249	30.37557804	2
IN		HK	CN	59.9248456	227.9075183	2
ID		HK	CN	0.135500978	0.515340361	2
US	IE	HK	CN	211.9305933	806.0191909	2
IL		HK	CN	49.12038265	186.8157422	2
IT		HK	CN	2111.000363	8028.603978	2
JP		HK	CN	1552.872269	5905.918679	2
GB	JY	HK	CN	471.5370073	1793.360134	2
KR		HK	CN	6251.825303	23777.08237	2
GB	LU	HK	CN	0.000433421	0.001648395	2
US	LU	HK	CN	22.68726644	86.28472111	2
MY		HK	CN	684.8911851	2604.793533	2
ID	MU	HK	CN	1309.582291	4980.632774	2
TW	MU	HK	CN	24.83627311	94.45787156	2
IT	MC	HK	CN	0.001095726	0.004167291	2
CZ	NL	HK	CN	4.974432662	18.91887399	2
FR	NL	HK	CN	154.1734838	586.3560553	2
IL	NL	HK	CN	23.4319448	89.1168986	2
NL		HK	CN	65.06959237	247.4741347	2
NO		HK	CN	57.34589751	218.099205	2
PH		HK	CN	149.8535901	569.9265384	2
PL		HK	CN	15.02564928	57.14588673	2
SG		HK	CN	1029.300823	3914.660002	2
SE		HK	CN	101.1410596	384.6619488	2
DE	CH	HK	CN	15.09514055	57.41017749	2
IN	CH	HK	CN	1.733227246	6.591848778	2
CH		HK	CN	340.1782429	1293.773531	2
US	CH	HK	CN	302.6662062	1151.106911	2
TW		HK	CN	12827.39312	48785.42953	2
TH		HK	CN	303.4170124	1153.962394	2
CN	GB	HK	CN	13.65471684	51.93192568	2
IT	GB	HK	CN	8.619134011	32.780484	2
GB		HK	CN	13356.77647	50798.79217	2
US	GB	HK	CN	117.7079374	447.6694705	2
n.a.	GB	HK	CN	20.18069778	76.75168293	2
US		HK	CN	9720.342563	36968.62509	2
HK	VG	HK	CN	276.4260999	1053.67133	2
CN	VG	HK	CN	6302.869491	24025.05726	2
DE	VG	HK	CN	32.45148292	123.6974265	2
n.a.	VG	HK	CN	162.7984356	620.5493771	2
n.a.		HK	CN	66.73094277	253.7926199	2
n.a.	KY	MO	CN	1.276737102	1.276737102	2
MO			CN	13.08951367	13.08951367	2
CN		MO	CN	15.81446387	15.81446387	2
n.a.	VG	MO	CN	2.025571639	2.025571639	2
n.a.		MO	CN		7558.992239	2
CO			CN	16.69517549	2.186447	1
HR			CN	2.874232005	3.48678	2
BY	CY		CN	20.63138865	20.63138865	2
ZA	CY		CN	17.6178987	17.6178987	2
SE	CY		CN	4.742971943	4.742971943	2
n.a.		CY	CN		830.0286577	2
CZ			CN	1.25731732	1.25731732	2
n.a.		CZ	CN		191.5727847	2
DK			CN	4545.412362	3455.355096	1
DE		DK	CN	68.97509342	52.43384353	1
JP		DK	CN	34.91335077	26.54061169	1
SE	LU	DK	CN	9.141714236	6.949395645	1
NL		DK	CN	6.832454156	5.193930364	1
SE	NL	DK	CN	53.84048938	40.92874189	1
NO		DK	CN	106.1476733	80.6918877	1
ES		DK	CN	10.18913093	7.745626286	1
SE		DK	CN	40.39302376	30.70617787	1
CH		DK	CN	2.159779737	1.641832539	1
SE	GB	DK	CN	2.819204225	2.143117259	1
US		DK	CN	1032.95324	785.2357402	1
