Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)
BE	NL	FR	IT	65.05983329	32.17011805
CN	NL	FR	IT	0.173611111	0.085845439
FR	NL	FR	IT	5.138606068	2.540885143
NL	FR		IT	5.794742327	2.865324661
US	NL	FR	IT	2.430555556	1.201836144
n.a.	NL	FR	IT	1.392029592	0.688316494
NZ	FR		IT	6.986027944	1.64E-25
RU	FR		IT	56.94814815	160.7334955
ZA	FR		IT	137.4331551	18.98884609
ES	FR		IT	7.584830339	69.32458683
SE	FR		IT	10.19003659	13.58244519
IR	CH	FR	IT	0.30617284	1.196091132
CH	FR		IT	65.43946677	255.6450338
TW	FR		IT	5.347593583	43.03889739
TH	FR		IT	9.580838323	2.60E-23
FR	GB	FR	IT	0.998003992	3.086249902
DE	GB	FR	IT	10.33591731	31.96302224
GB	FR		IT	35.87826169	110.9507402
US	GB	FR	IT	23.15369261	71.60099773
n.a.	GB	FR	IT	1.715739505	5.305791282
US	FR		IT	1080.814947	966.1172957
n.a.	FR		IT	88.42426194	44.41313607
GE			IT	2.972313556	1
AU	DE		IT	10.30562082	2.076166117
AT	DE		IT	46.60141548	39.91411629
BE	DE		IT	1.063018783	0.075995698
BR	DE		IT	44.03855911	0.106755278
CA	DE		IT	0.23815261	0.267369664
CN	KY	DE	IT	1.596806387	1.69E-28
GB	KY	DE	IT	0.070226131	7.41E-30
US	KY	DE	IT	1.336462026	1.41E-28
n.a.	KY	DE	IT	4.932101221	5.21E-28
HK	DE		IT	2.083333333	0.006969523
CN	HK	DE	IT	0.793775341	0.002655473
CN	DE		IT	34.48046864	9.204333353
HR	DE		IT	0.520833333	1.92E-27
SK	CY	DE	IT	1.388888889	0.077563301
DK	DE		IT	1.584359296	3.520495315
FI	DE		IT	0.173611111	0.495181722
FR	DE		IT	171.230784	87.56344507
DE			IT	12910.81438	20714.77979
US	GI	DE	IT	0.527240369	1.95E-27
DE	GG	DE	IT	0.798403194	2.95E-27
SE	GG	DE	IT	0.520833333	1.92E-27
GB	GG	DE	IT	3.100775194	1.14E-26
IN	DE		IT	0.095271562	0.007391748
IR	DE		IT	141.8402778	3.35657681
US	IE	DE	IT	5.902777778	0.812176983
n.a.	IE	DE	IT	2.820012995	0.388012175
IT	IM	DE	IT	70.11443404	16.88318539
IT	DE		IT	4.974297489	13.44052365
JP	DE		IT	243.2072846	226.827701
DE	JY	DE	IT	0.604288499	2.23E-27
CH	JY	DE	IT	2.395209581	8.84E-27
GB	JY	DE	IT	2.083333333	7.69E-27
KR	DE		IT	131.7614969	90.01257852
KW	DE		IT	0.007228916	0.675674826
n.a.	LI	DE	IT	1.041666667	0.045899419
FR	LU	DE	IT	12.03738357	7.182677511
DE	LU	DE	IT	7.793986222	4.650652631
GB	LU	DE	IT	41.25650051	24.61765356
US	LU	DE	IT	140.7580375	83.98997876
n.a.	LU	DE	IT	0.998003992	0.595506556
FR	NL	DE	IT	1.215277778	0.213425909
DE	NL	DE	IT	1.03626943	0.181988636
NL	DE		IT	2.16405799	0.380049772
TW	NL	DE	IT	1.388888889	0.243915324
n.a.	NL	DE	IT	8.101626205	1.422799763
NO	DE		IT	109.230126	-1.39E-25
RU	DE		IT	0.320790479	0.317405534
SG	DE		IT	0.593139265	0.09598062
ES	DE		IT	2.24841569	7.719380022
SE	DE		IT	0.382900614	0.186269301
DE	CH	DE	IT	2.824574344	4.107644112
CH	DE		IT	76.3555419	111.0402326
n.a.	CH	DE	IT	3.383126188	4.919919491
TW	DE		IT	0.694444444	2.034111851
TR	DE		IT	13.82614648	39.7937492
GB	DE		IT	138.6019717	160.9227751
US	GB	DE	IT	0.259067358	0.300788204
n.a.	GB	DE	IT	3.229523749	3.749614221
US	DE		IT	721.6265594	234.1444426
AT	VG	DE	IT	0.173611111	0.000298765
AE	VG	DE	IT	18.76247505	0.032288047
n.a.	DE		IT	0.259067358	0.04584165
GH			IT	0.380643622	0
IT	GH		IT	1.069518717	4.76E-34
GB	GI		IT	2.825433378	2.32E-33
n.a.	GI		IT	8.483578965	6.98E-33
IT	GI		IT	90.0752909	8.186946285
n.a.	CH	GI	IT	0.548192771	0.013481111
GR			IT	59.41858615	4.70E-27
IT	GR		IT	56.33580247	50.11085622
BE	NL	GR	IT	0.918518519	0.019791512
GR	CH	GR	IT	558.0310881	173.1047562
GT			IT	40.10951403	1.5
IT	GG		IT	11.18013026	8.5
HN			IT	0.023496603	0
HU			IT	164.211161	10.3878739
n.a.	HU		IT	26.35343104	1.667098125
US	HU		IT	1997.689968	813.3709824
DK	IN		IT	22.51827295	-1.03E-32
IN			IT	236.7580701	-2.07E-35
IN	MC	IN	IT	10.17964072	0
CH	IN		IT	3.79241517	0
US	IN		IT	9.98003992	-1.27E-35
ID			IT	192.7495592	3
IR			IT	13.02394568	25.48631501
IQ			IT	0.011557789	1.5
n.a.	BM	IE	IT	0.173611111	0.053996386
CA	IE		IT	48.70259481	70.29809804
n.a.	HK	IE	IT	0.612345679	0.001501832
FR	IE		IT	5.931392647	3.751394751
IE			IT	213.0508063	29.32163146
IT	IE		IT	17.29267942	2.379946744
GB	IE		IT	1.795332136	0.247086919
US	IE		IT	6.887897349	0.947963498
n.a.	IE		IT	32.83482186	4.518971612
n.a.	IM	IE	IT	1.013750127	0.374922059
IT	IE		IT	8.369475091	42.07753891
JP	IE		IT	2.604166667	3.525188904
KR	IE		IT	0.259067358	0.23220537
n.a.	LI	IE	IT	3.209876543	0.163315961
US	NL	IE	IT	1.295336788	0.254529127
NO	IE		IT	0.399201597	-6.65E-27
SE	IE		IT	7.821933856	4.701899889
n.a.	CH	IE	IT	0.987473104	1.941198651
GB	IE		IT	1.03626943	1.433651404
n.a.	GB	IE	IT	3.128773542	4.328575611
US	IE		IT	243.1065818	89.62713496
n.a.	VG	IE	IT	2.772975561	0.003504076
n.a.	IE		IT	25.62634683	5.848190531
n.a.	IM		IT	0.24691358	192.8985393
GB	GG	IL	IT	2.430555556	0
IN	IL		IT	1.19760479	-2.89E-38
IL			IT	140.9302344	-3.34E-34
n.a.	NL	IL	IT	0.347222222	2.15E-38
US	IL		IT	5.544761082	-5.77E-36
JP			IT	2879.89983	2751.62685
n.a.	JP		IT	0.798403194	0.131396424
IT	JY		IT	93.9489261	77.22812554
CA	JY		IT	42.11886305	1.42E-27
RU	JY		IT	50.0998004	1.69E-27
CH	JY		IT	142.9141717	4.82E-27
GB	JY		IT	35.27094128	1.19E-27
n.a.	JY		IT	8.377205773	2.82E-28
n.a.	GB	JY	IT	0.593139265	0.10216782
US	JY		IT	3.209876543	0.118184978
JO			IT	0.703784754	3
KZ			IT	0.280284482	0
KE			IT	0.197713088	8.5
KP			IT	4.656895751	0
KR			IT	290.230087	357.7620251
US	KR		IT	9.895833333	5.740775483
KW			IT	691.6743453	1.822223506
KG			IT	1.007147498	0
IT	LV		IT	0.422959502	22.08998936
PT	LV		IT	0.775193798	8.261502201
n.a.	LV		IT	0.199600798	1.540336665
LB			IT	31.87657271	4
LR			IT	2.351577458	0
LY			IT	285.3137087	157.5720645
AT	LI		IT	1.554404145	28.5248477
AT	LI		IT	50.26737968	57.39523057
LI			IT	28.68741683	32.75525628
RO	LI		IT	172.1173685	196.5233938
n.a.	LI		IT	67.28365718	76.82439472
n.a.	CH	LI	IT	2.120668076	62.25171665
n.a.	CY	LT	IT	0.139824121	8.198413758
LT			IT	9.544019355	2.52E-21
AU	LU		IT	7.918921466	6.190388591
AT	LU		IT	1.224691358	3.577480962
FR	BS	LU	IT	10.35470128	3.44E-25
RU	BS	LU	IT	6.423611111	2.13E-25
BE	LU		IT	90.46499593	26.57232264
n.a.	BE	LU	IT	0.520833333	0.152984602
BZ	LU		IT	12.77067568	4.24E-25
US	BM	LU	IT	0.520833333	0.904506931
CA	LU		IT	53.01661956	204.0499665
CN	KY	LU	IT	4.375023146	4.12E-28
US	KY	LU	IT	64.65744235	6.09E-27
n.a.	KY	LU	IT	4.884935118	4.60E-28
HK	LU		IT	7.161867918	0.115707213
CN	LU		IT	5.389221557	5.353763262
IN	CY	LU	IT	0.868055556	0.199572319
GB	CY	LU	IT	1.05472927	0.242489971
n.a.	CY	LU	IT	2.81875811	0.648053099
FR	LU		IT	779.0364113	1422.771949
DE	LU		IT	184.5844368	1010.221027
GB	GG	LU	IT	8.440723829	2.80E-25
n.a.	GG	LU	IT	1.779417794	5.91E-26
IN	LU		IT	9.850091484	3.15229588
US	IE	LU	IT	312.0672946	172.8517517
IL	LU		IT	9.426018412	25.98990922
IT	LU		IT	3002.860018	23665.44005
JP	LU		IT	37.23216632	115.5417343
EG	JY	LU	IT	174.6863745	5.80E-24
IN	JY	LU	IT	38.72255489	1.29E-24
IT	JY	LU	IT	231.9361277	7.71E-24
SE	JY	LU	IT	15.56886228	5.17E-25
CH	JY	LU	IT	28.99305556	9.63E-25
GB	JY	LU	IT	7.382985939	2.45E-25
LB	LU		IT	2.407266764	8.00E-26
IT	LI	LU	IT	45.50651108	7.926651204
AT	LU		IT	8.175316035	17.09856214
BH	LU		IT	55.08982036	115.219609
BE	LU		IT	28.98577844	60.62336083
CA	LU		IT	40.68238953	85.08666363
HK	LU		IT	31.73652695	66.37651386
CN	LU		IT	156.1097134	326.5013393
HR	LU		IT	15.76846307	32.97952576
CZ	LU		IT	1.581704706	3.30811385
EG	LU		IT	24.11205469	50.43003399
FR	LU		IT	700.3605814	1464.794617
DE	LU		IT	312.0634622	652.676481
IN	LU		IT	74.1315745	155.0451784
IL	LU		IT	11.34180409	23.72122878
IT	LU		IT	3785.608773	7917.549189
LU			IT	47.57605239	99.5046656
PT	LU		IT	99.6007984	208.3137133
QA	LU		IT	477.0630537	997.7708793
RU	LU		IT	153.5344175	321.1151431
SA	LU		IT	129.8993867	271.682798
SG	LU		IT	90.94802059	190.2165464
ES	LU		IT	51.09702257	106.8687268
CH	LU		IT	65.85284628	137.7303311
TH	LU		IT	348.7822001	729.4732212
TR	LU		IT	16.51445967	34.53976747
AE	LU		IT	14.03762927	29.35951042
GB	LU		IT	3292.251743	6885.699681
US	LU		IT	1254.238249	2623.222215
n.a.	LU		IT	1451.151713	3035.064043
n.a.	MH	LU	IT	0.057926829	1.92E-27
IT	MC	LU	IT	2338.592303	7.77E-23
BE	NL	LU	IT	23.75249501	16.20073347
IT	NL	LU	IT	664.2482665	453.0601573
NL	LU		IT	92.3414916	62.98285267
n.a.	NL	LU	IT	0.151004321	0.102994686
NZ	LU		IT	185.7879918	6.17E-24
HK	PA	LU	IT	28.14814815	3.259548015
FR	PA	LU	IT	16.29394919	1.886834951
n.a.	PA	LU	IT	26.29613315	3.045085174
PL	LU		IT	5.476546906	34.11114283
QA	LU		IT	29.11052785	6.490229118
RU	LU		IT	0.197713088	0.599187754
ES	LU		IT	25.28615516	287.479682
SE	LU		IT	47.11639985	82.66661625
DE	CH	LU	IT	16.22713123	78.93808444
CH	LU		IT	720.8794714	3506.771701
n.a.	CH	LU	IT	20.52669567	99.8536348
TW	LU		IT	2.174843971	18.55600436
AE	LU		IT	19.25367797	1.82E-15
IT	GB	LU	IT	151.1990529	615.8632427
GB	LU		IT	451.7873251	1840.217922
US	GB	LU	IT	35.52894212	144.7163132
n.a.	GB	LU	IT	22.5079541	91.67928852
US	LU		IT	5041.583087	6140.191145
IT	VG	LU	IT	87.8243513	0.847278942
JP	VG	LU	IT	34.79047657	0.335638553
n.a.	VG	LU	IT	31.78444907	0.306638125
n.a.	LU		IT	15.51994667	10.13673585
MG			IT	1.215277778	0.5
MY			IT	0.569037288	0
IN	MT		IT	7.584830339	123.055027
IT	MT		IT	0.593139265	138.0794554
DE	MT		IT	12.02391368	1.60E-22
IT	MT		IT	25.27603585	3.36E-22
RU	MT		IT	13.19444444	1.75E-22
SE	MT		IT	0.259067358	3.44E-24
n.a.	MT		IT	97.52740472	1.30E-21
IT	MH	MT	IT	12.5748503	1.67E-22
GB	MT		IT	0.740740741	107.4122876
n.a.	GB	MT	IT	0.402858999	58.41720906
US	MT		IT	0.347222222	18.49814655
n.a.	MT		IT	5.856603631	175.0263649
MR			IT	0.593139265	0
IN	MU		IT	8.568956527	22.81285904
n.a.	MU		IT	1.131020128	1.19E-24
ZA	MU		IT	0.520833333	0.875479543
MX			IT	6.3798298	0
MD			IT	10.12799115	13
IT	MC		IT	0.342231348	1.52E-34
n.a.	MC		IT	61.90130121	0
ME			IT	2.506078046	1.5
MA			IT	10.74015845	6
NA			IT	0.259067358	0.5
AU	NL		IT	3.035955664	3.056567431
AT	NL		IT	124.1516966	474.4478051
BE	NL		IT	18.13144544	7.098237822
BZ	NL		IT	3.626943005	2.00E-25
HK	BM	NL	IT	0.565470533	1.134583541
NL	BM	NL	IT	225.6684492	452.7905406
US	BM	NL	IT	67.46506986	135.3647156
n.a.	BM	NL	IT	0.259067358	0.519803496
CA	NL		IT	31.89594863	154.1311198
HK	KY	NL	IT	12.84457974	0
CN	KY	NL	IT	1.388888889	0
FR	KY	NL	IT	8.78243513	0
US	KY	NL	IT	7.481652206	0
n.a.	KY	NL	IT	0.259067358	0
CN	NL		IT	189.0832217	233.6207867
BR	CW	NL	IT	11.57684631	24.3480841
IT	CW	NL	IT	31.42817405	66.09881521
TW	CW	NL	IT	175.1308642	368.3301044
GB	CW	NL	IT	4.496215902	9.456309601
US	CW	NL	IT	81.82757964	172.097369
