Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
4.08	1.64	JP	ES		IT
17.90	45.75	JP	FR		IT
629.96	914.38	JP	GB		IT
2.60	3.53	JP	IE		IT
23.77	0.00	JP	KY	GB	IT
37.23	115.54	JP	LU		IT
231.10	937.02	JP	NL		IT
16.78	0.00	JP	NO		IT
6.08	8.95	JP	SE		IT
12.96	30.45	JP	US		IT
34.79	0.34	JP	VG	LU	IT
0.20	8.50	KE			IT
1.01	0.00	KG			IT
1.19	0.00	KN	GB		IT
4.66	0.00	KP			IT
290.23	357.76	KR			IT
131.76	90.01	KR	DE		IT
18.56	34.77	KR	FR		IT
11.89	0.07	KR	HK	GB	IT
0.26	0.23	KR	IE		IT
39.57	122.32	KR	NL		IT
691.67	1.82	KW			IT
0.01	0.68	KW	DE		IT
2.43	205.71	KW	GB		IT
17.44	3708.45	KW	NL		IT
0.28	0.00	KZ			IT
31.88	4.00	LB			IT
10.72	0.00	LB	FR		IT
2.41	0.00	LB	LU		IT
2.20	0.00	LB	VG	SE	IT
28.69	32.76	LI			IT
6.19	1.50	LK			IT
0.26	0.00	LK	NL		IT
2.35	0.00	LR			IT
9.54	0.00	LT			IT
47.58	99.50	LU			IT
285.31	157.57	LY			IT
207.19	47.50	LY	NL		IT
10.74	6.00	MA			IT
4.79	0.00	MC	NL		IT
10.13	13.00	MD			IT
0.40	0.00	MD	RO		IT
2.51	1.50	ME			IT
1.22	0.50	MG			IT
4.58	0.00	MO			IT
0.59	0.00	MR			IT
6.38	0.00	MX			IT
0.52	0.00	MX	AT		IT
67.86	0.00	MX	ES		IT
7.58	0.00	MX	NL		IT
0.57	0.00	MY			IT
1.40	0.00	MY	CH		IT
305.59	0.00	MY	NL		IT
0.75	80.69	n.a.	AL		IT
0.26	0.12	n.a.	AT		IT
140.30	283.06	n.a.	BE		IT
0.60	0.12	n.a.	BE	AT	IT
20.94	4.34	n.a.	BE	FR	IT
0.52	0.15	n.a.	BE	LU	IT
0.26	0.00	n.a.	BE	NO	IT
0.01	0.00	n.a.	BE	SE	IT
1.44	0.32	n.a.	BG		IT
0.58	0.00	n.a.	BM		IT
1.55	5.80	n.a.	BM	AU	IT
0.56	0.39	n.a.	BM	GB	IT
0.17	0.05	n.a.	BM	IE	IT
0.26	0.52	n.a.	BM	NL	IT
6.54	0.55	n.a.	BS		IT
3.15	0.00	n.a.	BS	PT	IT
1016.77	1629.15	n.a.	CH		IT
0.33	1.15	n.a.	CH	AT	IT
0.20	0.35	n.a.	CH	BG	IT
3.38	4.92	n.a.	CH	DE	IT
4.45	2.78	n.a.	CH	ES	IT
2.89	6.29	n.a.	CH	GB	IT
0.55	0.01	n.a.	CH	GI	IT
0.99	1.94	n.a.	CH	IE	IT
2.12	62.25	n.a.	CH	LI	IT
20.53	99.85	n.a.	CH	LU	IT
8.70	54.15	n.a.	CH	NL	IT
0.49	6.36	n.a.	CH	PT	IT
0.80	3.03	n.a.	CH	RO	IT
6.95	65.21	n.a.	CH	SG	IT
0.59	5.17	n.a.	CH	SI	IT
7.96	1.07	n.a.	CN		IT
1.96	0.88	n.a.	CW		IT
42.67	89.74	n.a.	CW	NL	IT
102.27	103.26	n.a.	CY		IT
5.33	0.79	n.a.	CY	AT	IT
2.57	0.22	n.a.	CY	GB	IT
0.14	8.20	n.a.	CY	LT	IT
2.82	0.65	n.a.	CY	LU	IT
2.87	0.80	n.a.	CY	NL	IT
1.07	0.08	n.a.	CY	PL	IT
0.02	0.01	n.a.	CY	PT	IT
0.49	0.05	n.a.	CZ		IT
0.26	0.05	n.a.	DE		IT
0.81	0.01	n.a.	EE		IT
34.49	2.52	n.a.	ES		IT
0.87	0.00	n.a.	FI		IT
88.42	44.41	n.a.	FR		IT
726.34	889.51	n.a.	GB		IT
2.07	5.91	n.a.	GB	AT	IT
0.12	1.90	n.a.	GB	CY	IT
3.23	3.75	n.a.	GB	DE	IT
0.23	0.11	n.a.	GB	ES	IT
1.72	5.31	n.a.	GB	FR	IT
3.13	4.33	n.a.	GB	IE	IT
0.59	0.10	n.a.	GB	JY	IT
22.51	91.68	n.a.	GB	LU	IT
0.40	58.42	n.a.	GB	MT	IT
7.66	38.91	n.a.	GB	NL	IT
0.17	19.14	n.a.	GB	NZ	IT
8.84	96.40	n.a.	GB	PT	IT
0.39	1.12	n.a.	GB	RO	IT
0.31	0.00	n.a.	GG	GB	IT
1.78	0.00	n.a.	GG	LU	IT
8.48	0.00	n.a.	GI		IT
0.54	0.00	n.a.	GI	GB	IT
16.24	1.58	n.a.	HK		IT
2.71	0.32	n.a.	HK	BE	IT
0.60	0.03	n.a.	HK	CY	IT
1.16	0.01	n.a.	HK	GB	IT
0.61	0.00	n.a.	HK	IE	IT
0.75	87.46	n.a.	HR		IT
26.35	1.67	n.a.	HU		IT
58.46	10.37	n.a.	IE		IT
80.05	276.23	n.a.	IE	BE	IT
2.82	0.39	n.a.	IE	DE	IT
4.27	0.93	n.a.	IE	GB	IT
1.29	0.40	n.a.	IE	US	IT
0.25	192.90	n.a.	IM		IT
0.92	0.33	n.a.	IM	GB	IT
1.01	0.37	n.a.	IM	IE	IT
0.80	0.13	n.a.	JP		IT
8.38	0.00	n.a.	JY		IT
0.78	0.00	n.a.	JY	CH	IT
2.03	0.00	n.a.	JY	GB	IT
0.59	0.00	n.a.	JY	PT	IT
13.43	0.00	n.a.	KY		IT
5.84	0.00	n.a.	KY	CY	IT
4.93	0.00	n.a.	KY	DE	IT
4.88	0.00	n.a.	KY	LU	IT
0.26	0.00	n.a.	KY	NL	IT
67.28	76.82	n.a.	LI		IT
0.91	0.11	n.a.	LI	AT	IT
1.04	0.05	n.a.	LI	DE	IT
0.60	0.04	n.a.	LI	GB	IT
3.21	0.16	n.a.	LI	IE	IT
5.93	1.34	n.a.	LI	NL	IT
6.39	0.00	n.a.	LI	PA	IT
4.26	2.23	n.a.	LI	PT	IT
1466.67	3045.20	n.a.	LU		IT
7.35	10.52	n.a.	LU	AT	IT
1.57	15.77	n.a.	LU	BE	IT
0.20	0.13	n.a.	LU	CH	IT
1.00	0.60	n.a.	LU	DE	IT
5.41	1.37	n.a.	LU	ES	IT
19.01	31.52	n.a.	LU	FR	IT
3.85	3.47	n.a.	LU	GB	IT
24.36	65.90	n.a.	LU	NL	IT
0.10	0.07	n.a.	LU	PL	IT
0.53	3.04	n.a.	LU	PT	IT
2.43	2.25	n.a.	LU	SE	IT
0.87	3.37	n.a.	LU	SI	IT
1.53	0.52	n.a.	LU	TR	IT
0.20	1.54	n.a.	LV		IT
61.90	0.00	n.a.	MC		IT
8.18	0.00	n.a.	MC	CH	IT
0.06	0.00	n.a.	MH	LU	IT
103.38	175.03	n.a.	MT		IT
1.51	0.00	n.a.	MT	NL	IT
1.13	0.00	n.a.	MU		IT
0.52	0.00	n.a.	MU	GB	IT
0.14	0.00	n.a.	MU	SE	IT
429.95	378.98	n.a.	NL		IT
9.49	4.43	n.a.	NL	AT	IT
1.37	5.51	n.a.	NL	BE	IT
0.64	0.12	n.a.	NL	CH	IT
0.26	0.03	n.a.	NL	CZ	IT
8.10	1.42	n.a.	NL	DE	IT
0.35	0.02	n.a.	NL	ES	IT
1.39	0.69	n.a.	NL	FR	IT
10.14	2.79	n.a.	NL	GB	IT
0.35	0.00	n.a.	NL	IL	IT
0.15	0.10	n.a.	NL	LU	IT
2.78	6.18	n.a.	NL	SK	IT
36.04	0.00	n.a.	PA		IT
0.99	0.02	n.a.	PA	CZ	IT
2.57	0.10	n.a.	PA	GB	IT
26.30	3.05	n.a.	PA	LU	IT
0.40	0.06	n.a.	PA	NL	IT
1.54	3.81	n.a.	PA	PT	IT
0.07	0.00	n.a.	PA	RO	IT
0.15	0.03	n.a.	PL		IT
16.15	30.68	n.a.	PT		IT
0.26	0.13	n.a.	RO		IT
0.25	29.15	n.a.	RS		IT
3.71	0.00	n.a.	SC		IT
0.99	0.00	n.a.	SC	PT	IT
8.16	0.79	n.a.	TR		IT
8.64	3.81	n.a.	US		IT
5.60	3.85	n.a.	VG		IT
6.32	0.20	n.a.	VG	CY	IT
10.01	0.03	n.a.	VG	GB	IT
0.61	0.04	n.a.	VG	HK	IT
2.77	0.00	n.a.	VG	IE	IT
31.78	0.31	n.a.	VG	LU	IT
1.03	0.01	n.a.	VG	NL	IT
0.02	0.00	n.a.	VG	PT	IT
0.26	0.50	NA			IT
0.02	0.00	NE			IT
3.95	0.00	NG			IT
5.58	1.00	NI			IT
2677.89	2366.34	NL			IT
0.17	0.08	NL	AT		IT
10.80	43.06	NL	BE		IT
244.03	452.81	NL	BM		IT
3.39	7.37	NL	CH	GB	IT
2.16	0.38	NL	DE		IT
0.02	0.01	NL	DK		IT
5.79	2.87	NL	FR		IT
93.31	65.61	NL	LU		IT
87.32	0.00	NO			IT
109.23	0.00	NO	DE		IT
2.30	0.00	NO	DK		IT
2.85	0.00	NO	GB		IT
0.40	0.00	NO	IE		IT
2.26	1.99	NO	NL		IT
16.79	0.00	NO	SE		IT
66.71	0.00	NZ			IT
6.99	0.00	NZ	FR		IT
185.79	0.00	NZ	LU		IT
13.30	0.00	NZ	PT		IT
0.00	0.00	OM			IT
18.76	30.59	OM	CH		IT
6.21	1.00	PE			IT
51.28	7.00	PH			IT
0.26	0.00	PH	GB		IT
8.99	2.50	PK			IT
40.19	93.36	PL			IT
0.98	4.37	PL	AT		IT
5.48	34.11	PL	LU		IT
0.13	1.11	PL	NL		IT
116.90	335.09	PT			IT
0.51	2.60	PT	BE		IT
97.22	11.36	PT	ES		IT
99.60	208.31	PT	LU		IT
3.67	9.93	PT	LU	NL	IT
0.78	8.26	PT	LV		IT
0.39	0.52	PT	NL		IT
0.42	1.00	PY			IT
69.65	480.74	QA			IT
506.17	1004.26	QA	LU		IT
380.93	111.59	QA	NL		IT
132.19	0.00	RO			IT
172.12	196.52	RO	LI		IT
5.96	0.00	RS			IT
117.48	522.02	RU			IT
28.20	61.18	RU	AT		IT
67.47	129.22	RU	BE		IT
2184.31	2.67	RU	BM		IT
9.38	4.50	RU	BM	CH	IT
0.26	0.29	RU	BM	FR	IT
6.42	0.00	RU	BS	LU	IT
139.03	224.85	RU	CH		IT
2.62	52.50	RU	CY		IT
12.77	1.12	RU	CY	GB	IT
2.40	1.16	RU	CZ		IT
0.32	0.32	RU	DE		IT
56.95	160.73	RU	FR		IT
0.78	1.12	RU	GB		IT
50.10	0.00	RU	JY		IT
153.73	321.71	RU	LU		IT
13.19	0.00	RU	MT		IT
426.31	1831.42	RU	NL		IT
16.37	21.89	RU	NL	SI	IT
2.20	3.98	RU	SE		IT
322.36	10.05	RU	VG	CY	IT
6.19	0.02	RU	VG	GB	IT
12.01	42.82	SA			IT
0.60	0.99	SA	CH		IT
0.98	0.07	SA	LI	GB	IT
129.90	271.68	SA	LU		IT
34.46	274.10	SA	NL		IT
1455.33	1020.21	SE			IT
5.39	49.21	SE	BE		IT
1.70	0.92	SE	CH		IT
8.72	54.30	SE	CH	NL	IT
0.17	0.13	SE	CW		IT
0.38	0.19	SE	DE		IT
0.52	0.85	SE	DK		IT
0.68	0.14	SE	ES		IT
69.46	0.00	SE	FI		IT
10.19	13.58	SE	FR		IT
28.29	44.46	SE	GB		IT
0.52	0.00	SE	GG	DE	IT
7.82	4.70	SE	IE		IT
6.05	0.00	SE	JY		IT
8.38	0.00	SE	JY	CH	IT
1.04	0.00	SE	JY	DK	IT
7.01	0.00	SE	JY	FR	IT
15.57	0.00	SE	JY	LU	IT
0.20	0.00	SE	JY	NO	IT
50.07	85.40	SE	LU		IT
0.40	0.10	SE	LU	ES	IT
6.34	17.14	SE	LU	NL	IT
0.26	0.00	SE	MT		IT
1673.88	2221.43	SE	NL		IT
19.96	22.83	SE	US		IT
106.84	133.83	SG			IT
2.59	0.46	SG	CH		IT
0.59	0.10	SG	DE		IT
0.69	0.00	SG	KY	GB	IT
90.95	190.22	SG	LU		IT
113.20	91.65	SG	NL		IT
0.04	0.02	SG	US		IT
18.11	0.00	SI			IT
0.21	0.00	SI	CH		IT
15.69	0.00	SK			IT
0.03	0.00	SK	AT		IT
1.39	0.08	SK	CY	DE	IT
0.37	1.00	SL			IT
156.02	305.85	SM			IT
5.45	88.08	SM	PT		IT
5.54	3.50	SN			IT
0.03	1.50	SO			IT
0.68	0.00	SS			IT
2.17	0.00	SV			IT
4.08	5.00	SY			IT
0.78	0.00	TD			IT
0.05	0.00	TG			IT
1.72	18.50	TH			IT
9.58	0.00	TH	FR		IT
348.78	729.47	TH	LU		IT
31.96	0.00	TN			IT
95.05	83.99	TN	NL		IT
83.66	152.02	TR			IT
13.83	39.79	TR	DE		IT
0.52	2.16	TR	GB		IT
16.51	34.54	TR	LU		IT
10.78	125.14	TR	NL		IT
43.68	104.75	TW			IT
175.13	368.33	TW	CW	NL	IT
0.69	2.03	TW	DE		IT
5.35	43.04	TW	FR		IT
1.82	7.64	TW	GB		IT
2.17	18.56	TW	LU		IT
7.94	93.57	TW	NL		IT
1.39	0.24	TW	NL	DE	IT
0.26	1.00	TZ			IT
15.86	27.33	UA			IT
17.20	17.37	UA	CY		IT
0.00	0.00	UA	CZ		IT
198.60	889.08	UA	NL		IT
8497.56	6329.57	US			IT
0.17	0.15	US	AT		IT
8.27	22.77	US	AU		IT
292.98	1558.02	US	BE		IT
2.07	0.43	US	BE	FR	IT
1.55	0.00	US	BM		IT
0.17	0.08	US	BM	CH	IT
57.94	39.58	US	BM	GB	IT
0.52	0.90	US	BM	LU	IT
67.47	135.36	US	BM	NL	IT
63.27	269.27	US	BR		IT
1.98	0.00	US	BS	GB	IT
