Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
62.1	861.0	IT	CH	NL	FR
3.8	82.3	IT	DE		FR
4.5	70.5	IT	ES		FR
0.5	19.3	IT	FI		FR
81.5	699.8	IT	GB		FR
0.9	64.5	IT	IE		FR
1.0	75.3	IT	IE	LU	FR
0.0	1.3	IT	JE		FR
1.9	62.0	IT	JE	GB	FR
1031.4	3695.8	IT	LU		FR
0.1	17.4	IT	MC		FR
0.0	3.6	IT	MT		FR
1166.4	4142.3	IT	NL		FR
0.3	34.3	IT	NL	DE	FR
62.6	593.1	IT	NL	ES	FR
1.7	48.8	IT	NL	GB	FR
154.8	1950.9	IT	NL	LU	FR
0.2	17.5	IT	NL	US	FR
4.1	104.9	IT	SE		FR
0.7	23.8	IT	US		FR
15029.5	15443.1	JP			FR
0.1	7.9	JP	AU		FR
62.1	883.2	JP	BE		FR
2.4	57.7	JP	CA		FR
20.3	217.0	JP	CH		FR
17.6	244.0	JP	DE		FR
0.8	43.8	JP	DK		FR
134.2	851.6	JP	ES		FR
208.1	1245.1	JP	GB		FR
1.2	32.0	JP	IT		FR
0.2	9.9	JP	KY	GB	FR
168.8	1179.2	JP	LU		FR
247.3	1339.4	JP	NL		FR
0.1	3.9	JP	NL	DE	FR
7.8	175.2	JP	NO		FR
1.1	78.3	JP	SE		FR
401.2	1792.1	JP	US		FR
700.5	741.8	KR			FR
15.3	221.5	KR	DE		FR
0.1	4.0	KR	HK	IT	FR
105.6	420.0	KR	IE		FR
32.4	399.9	KR	NL		FR
16.7	188.9	KR	US		FR
151.1	151.2	KZ	NL		FR
2687.0	2687.0	LB			FR
25.6	685.6	LB	LU		FR
223.0	272.5	LI			FR
41.6	221.1	LR			FR
17.7	151.3	LU			FR
1.8	35.7	LU	BE		FR
0.0	0.5	LU	CH		FR
8.9	166.9	LU	NL		FR
74.5	74.8	LY			FR
414.1	429.8	MA			FR
72.2	104.9	MA	LU		FR
4.5	174.6	MC			FR
40.7	227.9	MT			FR
186.3	274.2	MU			FR
360.5	360.8	MX			FR
711.7	712.9	MX	ES		FR
111.9	113.3	MY			FR
0.0	1.5	MY	AU		FR
7.1	216.3	MY	BM		FR
7.8	24.1	MY	CH		FR
0.2	3.9	MY	GB		FR
0.7	13.3	MY	IT		FR
0.6	35.8	MY	SG		FR
0.4	18.3	MY	SG	GB	FR
0.5	33.2	MY	SG	NL	FR
5269.4	15774.2	NL			FR
0.0	2.8	NL	AT		FR
26.4	541.7	NL	BE		FR
719.3	2410.5	NL	BM		FR
0.1	2.1	NL	BM	IT	FR
0.2	21.6	NL	CH	GB	FR
74.7	172.1	NL	CW		FR
0.8	33.1	NL	DE		FR
15.3	255.7	NL	GB		FR
62.5	955.5	NL	LU		FR
1953.4	2198.2	NO			FR
2.9	66.1	NO	BE		FR
0.1	7.2	NO	CA		FR
1.2	28.9	NO	CH		FR
21.5	295.1	NO	LU	NL	FR
211.1	829.6	NO	NL		FR
116.8	680.1	NO	SE		FR
4.1	92.9	NZ			FR
0.0	2.6	NZ	BE		FR
0.2	11.4	NZ	GB		FR
0.0	0.8	NZ	IT		FR
21.6	109.5	NZ	LU		FR
0.1	11.9	NZ	NL		FR
11.8	151.8	OM	NL		FR
0.6	11.6	OM	VG	LU	FR
0.1	4.7	PH	HK	DE	FR
765.0	1000.0	PT			FR
0.0	0.3	PT	BE		FR
34.9	266.8	PT	ES		FR
0.6	9.2	PT	LU		FR
0.6	30.0	PT	LU	NL	FR
1466.1	1467.3	QA			FR
0.0	0.8	QA	IT		FR
1596.3	2042.9	QA	LU		FR
0.2	12.3	QA	LU	IT	FR
383.4	459.8	QA	MT		FR
10.2	303.7	QA	NL		FR
5.1	48.7	RO			FR
1788.9	1792.2	RU			FR
8.8	196.2	RU	AT		FR
21.7	215.6	RU	BE		FR
0.1	6.6	RU	BM	CH	FR
1.8	58.9	RU	BM	GB	FR
0.1	22.9	RU	BS	LU	FR
65.6	581.3	RU	CH		FR
78.5	408.1	RU	GB		FR
0.6	17.8	RU	IT		FR
685.7	3920.7	RU	LU		FR
0.1	5.5	RU	NL	IT	FR
0.0	1.4	RU	SE		FR
0.0	0.5	RU	VG	LU	FR
730.7	731.9	SA			FR
0.1	2.7	SA	EG		FR
3.2	65.4	SA	GB		FR
22.3	179.5	SA	LU		FR
173.2	202.2	SA	NL		FR
0.1	25.1	SA	SE		FR
3291.8	4678.8	SE			FR
10.6	214.7	SE	BE		FR
1.4	80.9	SE	CH		FR
0.4	12.3	SE	CH	NL	FR
4.6	82.9	SE	CW	NL	FR
1.9	23.9	SE	DE		FR
1.5	23.0	SE	DK		FR
74.6	1000.2	SE	ES		FR
0.0	0.8	SE	FI		FR
24.3	315.6	SE	GB		FR
9.0	309.3	SE	GB	LU	FR
6.5	40.9	SE	GG	DE	FR
1.0	14.5	SE	IT		FR
0.1	1.9	SE	JE		FR
0.1	1.7	SE	JE	DK	FR
0.1	2.8	SE	JE	IT	FR
6.1	49.4	SE	JE	LU	FR
0.9	17.2	SE	JE	NL	FR
1.0	19.6	SE	LU		FR
1.9	50.9	SE	LU	DE	FR
8.3	217.8	SE	LU	GB	FR
30.0	410.8	SE	LU	NL	FR
2141.5	5898.4	SE	NL		FR
0.9	46.0	SE	NL	CH	FR
2.7	41.3	SE	US		FR
30.1	325.7	SG			FR
0.4	16.4	SG	BM	CH	FR
0.0	0.4	SG	DE		FR
0.0	5.3	SG	GB		FR
54.9	463.3	SG	LU		FR
17.5	271.1	SG	NL		FR
0.1	4.1	SK	CZ		FR
303.0	303.0	SM			FR
10.6	233.5	SN	LU		FR
1.0	33.9	TH			FR
268.8	629.1	TH	LU		FR
43.6	404.6	TH	NL		FR
28.6	292.6	TN			FR
9.4	126.2	TN	NL		FR
333.7	335.0	TR			FR
0.0	0.5	TR	BE		FR
0.0	0.9	TR	DE		FR
1.8	5.4	TR	GB		FR
172.7	172.9	TW			FR
0.0	0.5	TW	KY		FR
0.0	0.3	TW	NL		FR
57520.2	63479.1	US			FR
0.2	7.5	US	AU		FR
147.0	1708.5	US	BE		FR
108.4	983.3	US	BM		FR
0.7	22.4	US	BM	BE	FR
6.5	105.0	US	BM	ES	FR
0.3	12.5	US	BM	GB	FR
187.8	1510.0	US	BM	LU	FR
105.0	1208.1	US	BM	NL	FR
0.2	5.0	US	BM	SE	FR
14.0	257.8	US	CA		FR
1966.3	10425.7	US	CH		FR
2.5	109.5	US	CH	NL	FR
1.2	65.7	US	CW		FR
416.8	537.5	US	CW	NL	FR
85.3	775.3	US	DE		FR
448.4	1146.6	US	DK		FR
499.4	2106.3	US	ES		FR
4.8	197.3	US	FI		FR
1199.8	6074.8	US	GB		FR
0.1	3.7	US	GB	DE	FR
1612.6	7480.5	US	GB	LU	FR
229.2	2679.9	US	GB	NL	FR
0.1	6.8	US	GG	GB	FR
0.4	20.4	US	GG	IE	FR
99.7	1011.3	US	HK		FR
4.7	74.8	US	HK	GB	FR
310.6	382.7	US	HU		FR
940.0	5240.6	US	IE		FR
13.0	210.8	US	IE	BE	FR
33.1	836.8	US	IE	BM	FR
0.7	15.7	US	IE	DE	FR
0.2	73.1	US	IE	IS	FR
1018.9	3503.2	US	IE	LU	FR
10.9	381.8	US	IE	NL	FR
235.0	773.0	US	IE	SG	FR
0.6	16.3	US	IL		FR
6.0	137.1	US	IT		FR
3.9	54.4	US	JE		FR
0.1	4.9	US	JE	CH	FR
0.6	41.5	US	KR		FR
15.4	289.4	US	KY		FR
0.6	16.9	US	KY	DE	FR
0.2	6.6	US	KY	GB	FR
218.8	527.6	US	KY	LU	FR
2.3	24.3	US	KY	NL	FR
31343.4	51277.5	US	LU		FR
15.2	261.9	US	LU	BE	FR
0.1	12.4	US	LU	CH	FR
3.1	48.4	US	LU	DE	FR
1.2	93.5	US	LU	ES	FR
0.6	22.9	US	LU	GB	FR
0.2	7.4	US	LU	IT	FR
60.7	1010.7	US	LU	NL	FR
0.1	4.3	US	LU	SE	FR
15985.5	30767.6	US	NL		FR
4.4	50.5	US	NL	CY	FR
33.9	490.3	US	NL	DE	FR
2.0	71.8	US	NL	ES	FR
0.1	11.9	US	NL	GB	FR
0.1	4.4	US	NL	IT	FR
636.8	4163.8	US	NL	LU	FR
0.0	1.7	US	NL	SE	FR
3.7	89.0	US	NO		FR
46.0	314.4	US	SE		FR
37.4	393.3	US	SG		FR
0.1	3.3	US	SG	CH	FR
11.2	211.6	US	SK		FR
0.0	0.2	US	VG	GB	FR
0.0	0.6	US	VG	SE	FR
33.3	331.3	ZA			FR
1837.3	2187.1	ZA	AT		FR
0.3	8.2	ZA	BE		FR
503.6	3740.5	ZA	CH	NL	FR
2.0	66.8	ZA	CW	NL	FR
2.5	106.2	ZA	DE		FR
1.8	50.3	ZA	GB		FR
137.3	415.3	ZA	JE		FR
1.4	68.4	ZA	LU	GB	FR
26.3	448.6	ZA	LU	NL	FR
